Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
3/10/2023,3/10/2023,3/10/2023,LLY,Cash Div: R/D 2023-02-15 P/D 2023-03-10 - 0.064209 shares at 1.13,CDIV,,,$0.07 ,
3/10/2023,3/10/2023,3/14/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.00076,$249.73 ,($0.19),
3/9/2023,3/9/2023,3/9/2023,MSFT,Cash Div: R/D 2023-02-16 P/D 2023-03-09 - 0.286259 shares at 0.68,CDIV,,,$0.19 ,
3/8/2023,3/8/2023,3/10/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.001045,$153.11 ,($0.16),
3/7/2023,3/7/2023,3/7/2023,JNJ,Cash Div: R/D 2023-02-21 P/D 2023-03-07 - 0.141584 shares at 1.13,CDIV,,,$0.16 ,
3/7/2023,3/7/2023,3/9/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.002231,$71.70 ,($0.16),
3/6/2023,3/6/2023,3/6/2023,BND,Cash Div: R/D 2023-03-02 P/D 2023-03-06 - 0.950397 shares at 0.164216,CDIV,,,$0.16 ,
3/2/2023,3/2/2023,3/6/2023,JNJ,"Johnson & Johnson
CUSIP: 478160104
order batcher",Buy,0.032968,$151.66 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,BND,"Vanguard Total Bond Market ETF
CUSIP: 921937835
order batcher",Buy,0.070185,$71.24 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,DUOL,"Duolingo
CUSIP: 26603R106
order batcher",Buy,0.016823,$118.88 ,($2.00),
3/2/2023,3/2/2023,3/6/2023,USO,"United States Oil Fund
CUSIP: 91232N207
order batcher",Buy,0.073389,$68.13 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,AMZN,"Amazon
CUSIP: 023135106
order batcher",Buy,0.110156,$90.78 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,NVDA,"NVIDIA
CUSIP: 67066G104
order batcher",Buy,0.021942,$227.87 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,VOOV,"Vanguard S&P 500 Value ETF
CUSIP: 921932703
order batcher",Buy,0.034592,$144.54 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
order batcher",Buy,0.012686,$394.13 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,INTU,"Intuit
CUSIP: 461202103
order batcher",Buy,0.005057,$395.49 ,($2.00),
3/2/2023,3/2/2023,3/6/2023,GOOGL,"Alphabet Class A
CUSIP: 02079K305
order batcher",Buy,0.110277,$90.68 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.040459,$247.16 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,AAPL,"Apple
CUSIP: 037833100
order batcher",Buy,0.034585,$144.57 ,($5.00),
3/2/2023,3/2/2023,3/6/2023,JPM,"JPMorgan Chase
CUSIP: 46625H100
order batcher",Buy,0.071296,$140.26 ,($10.00),
3/2/2023,3/2/2023,3/6/2023,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.013807,$362.12 ,($5.00),
